//  CHAIN NAME: 'chain0'
//  CHAIN LENGTH: 5051
//  SCAN INPUT: '/scan_in_0'
//  SCAN OUTPUT: '/scan_out_0'
cell#  chain   cell_type  inv   gate#   shift_clock     inv  cell_name  instance_name                                                                                                           lib_internal_pathname  pin_names  
-----  ------  ---------  ----  ------  -------------------  ---------  ----------------------------------------------------------------------------------------------------------------------  ---------------------  ---------  
82     chain0  MASTER     FFFF  581710  /io_in_bus[28]  T    SDFFRXL    /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/ieu_ctl/rd0_data_exd_reg_16_                                         (SI,Q)     
83     chain0  MASTER     FFFF  581709  /io_in_bus[28]  T    SDFFRHQX4  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/ieu_ctl/rd0_data_exd_reg_11_                                         (SI,Q)     
84     chain0  MASTER     FFFF  581708  /io_in_bus[28]  T    SDFFRHQX2  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/ieu_ctl/bus_burst_disable_reg                                        (SI,Q)     
85     chain0  MASTER     FFFF  581707  /io_in_bus[28]  T    SDFFRHQX2  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/ieu_ctl/rd0_data_exd_reg_27_                                         (SI,Q)     
86     chain0  MASTER     FFFF  581706  /io_in_bus[28]  T    SDFFRHQX2  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/ieu_ctl/rd0_wen_exd_reg                                              (SI,Q)     
87     chain0  MASTER     FFFF  581705  /io_in_bus[28]  T    SDFFRHQX2  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/ieu_ctl/dim_last_instr_exd_reg                                       (SI,Q)     
88     chain0  MASTER     FFFF  581704  /io_in_bus[28]  T    SDFFRHQX4  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/ieu_ctl/rd0_data_exd_reg_15_                                         (SI,Q)     
89     chain0  MASTER     FFFF  581703  /io_in_bus[28]  T    SDFFRHQX4  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/ieu_ctl/rd0_data_exd_reg_18_                                         (SI,Q)     
90     chain0  MASTER     FFFF  581702  /io_in_bus[28]  T    SDFFRHQX4  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/ieu_ctl/rd0_data_exd_reg_21_                                         (SI,Q)     
91     chain0  MASTER     FFFF  581701  /io_in_bus[28]  T    SDFFRHQX4  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/ieu_ctl/rd0_data_exd_reg_14_                                         (SI,Q)     
